연월,일수,평균기온(°C),강수량합계(mm),평균습도(%),평균전운량(10분위),합계일조시간(hr)
2019-01,31,2.01,17.6,35.13,2.86,232.4
2019-02,28,2.97,13.7,47.86,3.91,211.4
2019-03,31,8.14,39.3,48.69,4.42,226.0
2019-04,30,11.58,77.5,52.62,5.08,220.9
2019-05,31,19.74,2.6,46.25,4.15,298.4
2019-06,30,19.81,122.4,74.77,5.81,221.1
2019-07,31,24.35,251.0,76.62,6.77,191.9
2019-08,31,24.76,260.4,78.57,5.89,214.1
2019-09,30,20.29,219.6,80.72,7.09,118.6
2019-10,31,15.55,432.1,70.31,5.59,149.9
2019-11,30,9.35,127.0,58.18,4.38,180.4
2019-12,31,4.47,6.5,44.07,3.5,193.1
2020-01,31,3.5,102.7,54.17,4.93,159.2
2020-02,29,4.15,70.7,52.09,4.1,200.1
2020-03,31,7.96,48.8,54.14,3.56,258.3
2020-04,30,10.82,68.5,50.04,3.99,254.9
2020-05,31,17.04,111.5,66.75,5.76,233.1
2020-06,30,22.18,244.4,70.44,5.6,232.4
2020-07,31,21.0,435.7,85.72,7.39,146.1
2020-08,31,25.41,171.1,82.15,7.64,134.2
2020-09,30,19.39,541.7,77.93,6.57,157.0
2020-10,31,13.71,0.2,62.15,4.15,217.1
2020-11,30,9.88,5.8,46.83,3.43,204.2
2020-12,31,1.69,0.6,36.84,2.38,225.9
2021-01,31,-0.57,13.0,43.79,3.22,205.4
2021-02,28,3.77,5.6,49.13,3.36,213.5
2021-03,31,8.31,115.7,61.72,4.88,210.4
2021-04,30,12.44,115.0,57.09,4.91,237.0
2021-05,31,16.39,157.6,62.56,5.51,229.0
2021-06,30,20.09,30.4,79.5,6.55,181.7
2021-07,31,24.53,146.0,84.23,6.13,255.7
2021-08,31,23.46,479.1,82.85,7.83,106.5
2021-09,30,19.97,128.7,81.85,6.16,170.2
2021-10,31,15.24,143.1,71.77,5.32,168.6
2021-11,30,9.99,16.6,52.21,3.44,213.3
2021-12,31,3.33,41.6,49.09,2.65,218.1
2022-01,31,0.52,5.8,47.49,2.84,231.4
2022-02,28,1.15,3.2,38.3,2.48,246.4
2022-03,31,7.74,100.0,58.74,4.84,192.2
2022-04,30,14.64,65.1,52.56,3.81,255.9
2022-05,31,18.54,6.5,51.71,3.86,305.7
2022-06,30,21.24,168.4,76.32,6.36,178.0
2022-07,31,24.05,239.4,87.98,7.61,135.6
2022-08,31,24.3,303.3,82.21,7.14,136.2
2022-09,30,19.98,235.9,78.06,5.57,200.2
2022-10,31,13.84,347.7,73.1,5.85,151.9
2022-11,30,11.22,53.4,56.91,3.72,198.1
2022-12,31,0.6,0.0,38.39,2.42,225.3
2023-01,31,1.06,97.3,45.08,2.96,219.3
2023-02,28,3.48,50.4,54.35,4.2,173.7
2023-03,31,9.86,9.3,52.16,3.92,219.3
2023-04,30,13.34,32.7,56.74,4.48,222.5
2023-05,31,17.94,91.4,63.45,5.83,237.2
2023-06,30,21.96,171.3,72.4,5.53,247.7
2023-07,31,25.65,109.1,79.33,6.46,178.7
2023-08,31,24.67,502.9,85.0,7.16,148.8
2023-09,30,21.11,240.1,83.93,6.33,161.9
2023-10,31,15.74,21.3,61.88,3.74,218.3
2023-11,30,9.33,59.9,49.18,2.98,222.8
2023-12,31,2.79,248.4,56.92,3.58,188.5
2024-01,31,1.41,31.3,54.82,3.15,206.1
2024-02,29,2.99,165.6,76.41,6.54,103.3
2024-03,31,6.34,66.6,58.58,4.19,208.5
2024-04,30,14.53,38.7,62.17,4.61,217.3
2024-05,31,18.29,84.6,58.52,4.22,274.1
2024-06,30,22.35,89.1,70.66,4.57,287.1
2024-07,31,26.5,116.6,75.78,7.15,162.1
2024-08,31,26.94,77.4,79.6,4.31,244.2
2024-09,30,21.94,546.3,86.35,6.86,125.7
2024-10,31,15.71,163.1,77.11,5.6,144.0
2024-11,30,10.68,54.7,64.96,4.63,171.7
2024-12,31,2.99,16.1,39.65,2.37,222.2
2025-01,31,1.12,17.8,47.49,2.94,223.2
2025-02,28,1.07,0.0,35.76,1.59,243.1
2025-03,31,7.22,117.7,59.3,4.94,213.8
2025-04,30,12.74,27.3,56.94,4.42,246.3
2025-05,31,17.12,58.0,65.15,5.44,237.1
2025-06,30,23.7,17.0,66.9,6.02,228.5
2025-07,31,27.26,131.9,76.77,5.76,220.7
2025-08,31,27.35,42.5,78.24,5.51,208.9
2025-09,30,22.0,376.3,84.29,6.78,140.6
2025-10,31,14.98,545.2,89.1,7.79,74.1
2025-11,30,9.8,15.3,55.1,2.28,235.0
2025-12,31,3.68,8.4,49.6,2.95,202.7
